Model,Test_MSE,Parameters,Model_Size_MB,Average_Latency_ms,Median_Latency_ms,P95_Latency_ms,Memory_Change_MB,MSE_0pct,MSE_20pct,MSE_40pct,MSE_60pct,MSE_80pct
CNN,6.41019797573487e-05,249218,0.9555997848510742,45.13587700002972,44.579900000826456,55.98680000002787,0.5,6.41019797573487e-05,0.0009340551526596149,0.0009340551526596149,0.0009340551526596149,0.0009340551526596149
CNN-LSTM,6.591162566716472e-05,145058,0.558842658996582,58.334432600011496,50.1306599999225,121.39243999990867,-0.5,6.591162566716472e-05,0.0012382018690307935,0.0014122837285200755,0.001480047224710385,0.0015088661201298236
