Occlusion_Percentage,CNN_MSE,CNN_LSTM_MSE,Better_Model
0,6.41019797573487e-05,6.591162566716472e-05,CNN
20,0.0009340551526596149,0.0012382018690307935,CNN
40,0.0009340551526596149,0.0014122837285200755,CNN
60,0.0009340551526596149,0.001480047224710385,CNN
80,0.0009340551526596149,0.0015088661201298236,CNN
